date,topic,sum_probability
2017-05-04,10,0.0850903278511046
2017-05-05,1,0.07753216861245263
2017-05-05,2,0.12037432366799973
2017-05-05,3,0.09804738773288385
2017-05-05,4,0.1319783119200373
2017-05-05,5,0.0651992812257376
2017-05-05,6,0.15790336495188495
2017-05-05,7,0.03363836836716823
2017-05-05,8,0.16113638820067866
2017-05-05,9,0.02741928285579944
2017-05-05,10,0.1267711224653576
2017-05-06,1,2.6171623749639587e-4
2017-05-06,2,0.21117617051478257
2017-05-06,3,0.043034577594428546
2017-05-06,4,2.6171623749639587e-4
2017-05-06,5,0.023123073169649788
2017-05-06,6,0.029932131212988225
2017-05-06,7,0.44867811120722156
2017-05-06,8,0.13151351830904695
2017-05-06,9,0.11175726927939318
2017-05-06,10,2.6171623749639587e-4
2017-05-07,1,0.04185533835547174
2017-05-07,2,0.0386056991379857
2017-05-07,3,0.07632048265859409
2017-05-07,4,0.06932471908657976
2017-05-07,5,0.043070776856261296
2017-05-07,6,0.04517539882162078
2017-05-07,7,0.17732828679514087
2017-05-07,8,0.11599732287403397
2017-05-07,9,0.0928745160578909
2017-05-07,10,0.29944745935642086
2017-05-08,1,0.09322969243637974
2017-05-08,2,0.012890845156894986
2017-05-08,3,0.021028766599169267
2017-05-08,4,0.010315694916763376
2017-05-08,5,0.11822705698290034
2017-05-08,6,0.2804206422272311
2017-05-08,7,0.17836401790854492
2017-05-08,8,0.05452630354498207
2017-05-08,9,0.1280413977806772
2017-05-08,10,0.102955582446457
2017-05-09,1,0.07059709699221924
2017-05-09,2,0.027000324732679482
2017-05-09,3,0.10674365700357111
2017-05-09,4,0.028400757782089926
2017-05-09,5,0.03695677427941142
2017-05-09,6,0.028066293467948766
2017-05-09,7,0.2845036333050437
2017-05-09,8,0.16038610158499247
2017-05-09,9,0.22355561111509836
2017-05-09,10,0.03378974973694553
2017-05-10,1,0.1009364192604416
2017-05-10,2,0.2800798084596967
2017-05-10,3,3.7776004256451185e-4
2017-05-10,4,0.15680234104815108
2017-05-10,5,0.06881351423250864
2017-05-10,6,0.0265682362330407
2017-05-10,7,0.026914072891726527
2017-05-10,8,3.7776004256451185e-4
2017-05-10,9,0.2884729981378026
2017-05-10,10,0.05065708965150306
2017-05-11,1,0.29491304225230713
2017-05-11,2,0.02407688158387007
2017-05-11,3,0.20054202191750173
2017-05-11,4,0.018301518554042752
2017-05-11,5,3.3276855404275297e-4
2017-05-11,6,0.2628317254966329
2017-05-11,7,0.12619373794179786
2017-05-11,8,0.0033633317408559397
2017-05-11,9,0.04370011549281826
2017-05-11,10,0.025744856466130665
2017-05-12,1,0.16009389671361504
2017-05-12,2,0.005164319248826292
2017-05-12,3,4.694835680751174e-4
2017-05-12,4,4.694835680751174e-4
2017-05-12,5,4.694835680751174e-4
2017-05-12,6,0.05211267605633803
2017-05-12,7,0.5685446009389671
2017-05-12,8,4.694835680751174e-4
2017-05-12,9,0.20704225352112676
2017-05-12,10,0.005164319248826292
2017-05-13,1,0.32720218237420073
2017-05-13,2,0.0033246455379482903
2017-05-13,3,0.005948359744231304
2017-05-13,4,0.29003926883514036
2017-05-13,5,0.026260425354462054
2017-05-13,6,0.0017955935501807064
2017-05-13,7,0.16994961078676676
2017-05-13,8,0.028675632471504033
2017-05-13,9,2.6654156241312206e-4
2017-05-13,10,0.14653773978315263
2017-05-14,1,0.009647058823529411
2017-05-14,2,0.08494117647058824
2017-05-14,3,2.3529411764705883e-4
2017-05-14,4,2.3529411764705883e-4
2017-05-14,5,0.009647058823529411
2017-05-14,6,0.3578823529411765
2017-05-14,7,2.3529411764705883e-4
2017-05-14,8,2.3529411764705883e-4
2017-05-14,9,0.492
2017-05-14,10,0.04494117647058824
2017-05-15,1,3.9053476553476557e-4
2017-05-15,2,0.1097258316008316
2017-05-15,3,0.6399146742896742
2017-05-15,4,0.0364265708015708
2017-05-15,5,0.06529438091938092
2017-05-15,6,0.021411555786555785
2017-05-15,7,0.10433341995841997
2017-05-15,8,0.019318116193116193
2017-05-15,9,3.9053476553476557e-4
2017-05-15,10,0.0027943809193809194
2017-05-16,1,0.17583130038045375
2017-05-16,2,0.11634059661555465
2017-05-16,3,0.05786965789213313
2017-05-16,4,0.32840756839227286
2017-05-16,5,0.005368002852952143
2017-05-16,6,0.0907179835325454
2017-05-16,7,0.02614370671760582
2017-05-16,8,0.0173606832179261
2017-05-16,9,0.0865992077812754
2017-05-16,10,0.09536129261728073
2017-05-17,1,2.6246719160104987e-4
2017-05-17,2,2.6246719160104987e-4
2017-05-17,3,0.07112860892388452
2017-05-17,4,2.6246719160104987e-4
2017-05-17,5,0.09212598425196851
2017-05-17,6,0.005511811023622047
2017-05-17,7,0.48582677165354327
2017-05-17,8,0.02125984251968504
2017-05-17,9,0.3230971128608924
2017-05-17,10,2.6246719160104987e-4
2017-05-18,1,0.5865188825088339
2017-05-18,2,0.0038664973498233218
2017-05-18,3,0.002099712897526502
